#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = RV
### and with mass values > 0.0 (PLANETDISCMETH == 'RV' && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###    NAME        MSINI        A        Mstar
###               mjupiter      au       Msun
     HD-74156-c   8.25e+00   3.90e+00   1.24e+00
      HD-7449-b   1.31e+00   2.34e+00   1.05e+00
     HD-75289-b   4.60e-01   4.79e-02   1.19e+00
     HD-75898-b   2.52e+00   1.19e+00   1.28e+00
     HD-76700-b   2.32e-01   5.11e-02   1.13e+00
     HD-77338-b   4.98e-02   6.12e-02   9.30e-01
      HD-7924-b   2.91e-02   5.66e-02   8.32e-01
     HD-79498-b   1.35e+00   3.13e+00   1.06e+00
     HD-80606-b   3.89e+00   4.47e-01   9.58e-01
     HD-81040-b   6.88e+00   1.94e+00   9.60e-01
     HD-81688-b   2.69e+00   8.11e-01   2.10e+00
     HD-82886-b   1.30e+00   1.58e+00   1.06e+00
     HD-82943-b   1.59e+00   1.19e+00   1.13e+00
     HD-82943-c   1.59e+00   7.42e-01   1.13e+00
     HD-83443-b   3.96e-01   4.05e-02   9.91e-01
      HD-8535-b   6.82e-01   2.44e+00   1.13e+00
     HD-85390-b   1.32e-01   1.52e+00   7.60e-01
     HD-85512-b   1.14e-02   2.60e-01   6.90e-01
      HD-8574-b   1.81e+00   7.57e-01   1.12e+00
     HD-86081-b   1.50e+00   3.46e-02   1.21e+00
     HD-86264-b   6.63e+00   2.84e+00   1.40e+00
     HD-87883-b   1.76e+00   3.58e+00   8.03e-01
     HD-88133-b   2.96e-01   4.69e-02   1.18e+00
     HD-89307-b   1.79e+00   3.27e+00   9.89e-01
     HD-89744-b   8.19e+00   9.03e-01   1.48e+00
     HD-90156-b   5.65e-02   2.50e-01   8.40e-01
     HD-92788-b   3.56e+00   9.51e-01   1.08e+00
     HD-93083-b   3.68e-01   4.77e-01   7.00e-01
      HD-9446-b   6.99e-01   1.89e-01   1.00e+00
      HD-9446-c   1.82e+00   6.54e-01   1.00e+00
     HD-95089-b   1.13e+00   1.39e+00   1.38e+00
     HD-96063-b   1.14e+00   1.11e+00   1.41e+00
     HD-96127-b   4.01e+00   1.42e+00   9.10e-01
     HD-96167-b   6.85e-01   1.35e+00   1.31e+00
     HD-97658-b   2.47e-02   7.96e-02   7.48e-01
     HD-98219-b   2.12e+00   1.32e+00   1.62e+00
     HD-99109-b   5.04e-01   1.11e+00   9.40e-01
     HD-99492-b   1.06e-01   1.22e-01   8.32e-01
     HD-99706-b   1.40e+00   2.13e+00   1.72e+00
    HIP-12961-b   3.54e-01   2.55e-01   6.70e-01
    HIP-14810-b   3.87e+00   6.92e-02   9.90e-01
    HIP-14810-c   1.28e+00   5.45e-01   9.90e-01
    HIP-14810-d   5.81e-01   1.89e+00   9.90e-01
     HIP-2247-b   5.12e+00   1.34e+00   7.40e-01
     HIP-5158-b   1.43e+00   8.88e-01   7.80e-01
    HIP-57050-b   2.98e-01   1.64e-01   3.40e-01
    HIP-57274-b   3.66e-02   7.13e-02   7.30e-01
    HIP-57274-c   4.10e-01   1.78e-01   7.30e-01
    HIP-57274-d   5.29e-01   1.01e+00   7.30e-01
    HIP-79431-b   2.11e+00   3.58e-01   4.90e-01
    HIP-91258-b   1.07e+00   5.67e-02   9.50e-01
    Kepler-68-d   8.10e-01   1.40e+00   1.08e+00
M-67-SAND-364-b   1.88e+00   5.31e-01   1.35e+00
M-67-YBP-1194-b   3.46e-01   7.16e-02   1.01e+00
M-67-YBP-1514-b   3.97e-01   5.73e-02   9.60e-01
   NGC-2423-3-b   6.63e+00   1.66e+00   1.18e+00
 NGC-4349-127-b   9.89e+00   1.68e+00   1.37e+00
       Pr-201-b   5.40e-01   5.66e-02   1.23e+00
       Pr-211-b   1.84e+00   3.20e-02   9.52e-01
    alpha-Ari-b   1.72e+00   1.13e+00   1.33e+00
  alpha-Cen-B-b   3.55e-03   4.19e-02   9.34e-01
     beta-Gem-b   2.76e+00   1.76e+00   2.08e+00
  epsilon-CrB-b   6.05e+00   1.24e+00   1.44e+00
  epsilon-Eri-b   1.05e+00   3.38e+00   8.20e-01
  epsilon-Ret-b   1.38e+00   1.19e+00   1.24e+00
  epsilon-Tau-b   7.68e+00   1.94e+00   2.73e+00
    gamma-Cep-b   1.52e+00   1.98e+00   1.26e+00
  gamma-Leo-A-b   1.04e+01   1.30e+00   1.57e+00
     iota-Dra-b   9.32e+00   1.31e+00   1.14e+00
     iota-Hor-b   2.05e+00   9.24e-01   1.15e+00
    kappa-CrB-b   1.97e+00   2.72e+00   1.58e+00
       mu-Ara-b   1.75e+00   1.53e+00   1.15e+00
       mu-Ara-c   1.89e+00   5.34e+00   1.15e+00
       mu-Ara-d   3.46e-02   9.28e-02   1.15e+00
       mu-Ara-e   5.43e-01   9.40e-01   1.15e+00
    omega-Ser-b   1.70e+00   1.08e+00   2.17e+00
  omicron-CrB-b   1.48e+00   8.26e-01   2.13e+00
  omicron-UMa-b   4.10e+00   3.95e+00   3.09e+00
      rho-CrB-b   1.06e+00   2.26e-01   9.65e-01
      tau-Boo-b   4.13e+00   4.80e-02   1.34e+00
      tau-Gru-b   1.21e+00   2.52e+00   1.24e+00
  upsilon-And-b   6.69e-01   5.94e-02   1.31e+00
  upsilon-And-c   1.92e+00   8.30e-01   1.31e+00
  upsilon-And-d   4.12e+00   2.52e+00   1.31e+00
       xi-Aql-b   1.78e+00   5.38e-01   1.11e+00
